Race,Date,Distance(s),URL
Crown Point Half and Marathon Relay,27 Oct 24,5K/8K/13.1M/26.2M,http://www.tantracking.com/click.track?CID=254301&amp;AFID=156210&amp;nonencodedurl=http://www.active.com/san-diego-ca/running/distance-running-races/crown-point-marathon-half-marathon-relay-solo-runs-8k-and-5k-2024&amp;cmp=39-34-156210
Miles for Migraine - San Diego,02 Nov 24,5K,https://www.milesformigraine.org/san-diego/
Thrive Half Marathon,02 Nov 24,5K/13.1M,https://runsignup.com/Race/CA/SanDiego/2024PRESALEThriveSanDiegoHalfMarathon5K?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
San Diego Triathlon Challenge,03 Nov 24,other triathlon,https://www.challengedathletes.org/san-diego-triathlon-challenge/
6th Annual HomeAid San Diego's STEP UP! Walk to End Homelessness,10 Nov 24,5K,http://www.active.com/san-diego-ca/running/distance-running/6th-annual-homeaid-san-diego-s-step-up-walk-to-end-homelessness-2024
Sri Chinmoy 6-hour Race - San Diego,10 Nov 24,6H run,https://us.srichinmoyraces.org/sri-chinmoy-6-hour-race
USATF San Diego Cross Country Championship,10 Nov 24,6K/8K,https://sandiego.usatf.org/disciplines/cross-country
Father Joe's Villages Thanksgiving Day 5K,28 Nov 24,5K,http://www.thanksgivingrun.org/
Black Mountain Turkey Burner,30 Nov 24,5K/10K/13.1M,https://www.enduranceraceseries.com/black-mountain
A Charlie Brown Christmas 5K/10K,07 Dec 24,1K/5K/10K,https://runsignup.com/Race/CA/SanDiego/charliebrown5k10k?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
A Charlie Brown Christmas 5K/10K San Diego,07 Dec 24,10K/5K,https://runsignup.com/Race/CA/SanDiego/charliebrown5k10k
ASH Foundation Run,08 Dec 24,3K/5K,https://runsignup.com/Race/CA/SanDiego/ASHFoundationRunWalk?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
San Diego Holiday Half Marathon,14 Dec 24,13.1M,https://runsignup.com/Race/CA/SanDiego/SanDiegoHolidayHalf?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
Dirty December Trail Run,14 Dec 24,10K/13.1M/26.2M,https://ultrasignup.com/register.aspx?did=115157
Santa Run,14 Dec 24,5K,http://www.sandiegosantarun.com/
Jingle Bell Run - San Diego,15 Dec 24,5K,http://www.jbr.org/sandiego
Ohana Holiday 5K,22 Dec 24,1K/5K,https://runsignup.com/Race/CA/SanDiego/OhanaHolidayRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
2024 Port of San Diego Holiday Bowl Game Day 5K,27 Dec 24,5K,http://www.active.com/san-diego-ca/running/distance-running-races/port-of-san-diego-holiday-bowl-game-day-5k-2024
2025 Tritonman Triathlon - Draft Legal Saturday,25 Jan 25,triathlon,http://tritonman.com
Mermaid Half Marathon San Diego,08 Mar 25,5K/10K/13.1M,http://www.mermaidseries.com/mermaid-half-marathon-san-diego
Hot Chocolate Run San Diego,09 Mar 25,5K,http://go.evvnt.com/2286648-0?pid=5378
Hot Chocolate 15K/10K/5K - San Diego,09 Mar 25,5K/10K/15K,https://hotchocolate15k.com/city/san-diego/
Mission Beach Half Marathon,23 Mar 25,5K/13.1M,http://www.tantracking.com/click.track?CID=254301&amp;AFID=156210&amp;nonencodedurl=http://www.active.com/san-diego-ca/running/distance-running-races/mission-beach-solohalf-half-marathon-relay-9k-and-5k-runs-2025&amp;cmp=39-34-156210
"2025 Mission Beach SOLOHalf, Half Marathon Relay, 9K & 5K Runs",23 Mar 25,5K,http://www.active.com/san-diego-ca/running/distance-running-races/mission-beach-solohalf-half-marathon-relay-9k-and-5k-runs-2025?cmp=39-35-dgparham
"Screen Your Gut, Save Your Butt 5K",29 Mar 25,5K,https://charity.pledgeit.org/ScreenYourGutSaveYourButt
San Diego Beach & Bay Half Marathon,12 Apr 25,5K/10K/13.1M,http://sandiegobeachandbayhalfmarathon.com/
San Diego Race for Autism SUPERHERO 5K,12 Apr 25,1M/5K,http://www.raceforautism.org/
2025 Spring Sprint Triathlon and SD Tri Series 5K,04 May 25,5K,http://www.active.com/san-diego-ca/duathlon/races/spring-sprint-triathlon-and-sd-tri-series-5k-2025
Spring Sprint Triathlon Festival,04 May 25,Olympic/Sprint Aquathon/Sprint Duathlon/Sprint Triathlon,http://www.tantracking.com/click.track?CID=254301&amp;AFID=156210&amp;nonencodedurl=http://www.active.com/san-diego-ca/duathlon/races/spring-sprint-triathlon-and-sd-tri-series-5k-2025&amp;cmp=39-34-156210
"2025 Liberty Station Half Marathon, Marathon Relay & 5K",11 May 25,5K,http://www.active.com/san-diego-ca/running/distance-running-races/liberty-station-half-marathon-marathon-relay-and-5k-2025
La Jolla Half Marathon & 5K,17 May 25,13.1/5K,https://lajollahalfmarathon.com
2025 San Diego International Triathlon and SD Tri Series 5K,22 Jun 25,5K,http://www.active.com/san-diego-ca/running/distance-running-races/san-diego-international-triathlon-and-sd-tri-series-5k-2025
